Nama Penyakit,Deskripsi Penyakit,Penyebab Penyakit,Gejala Penyakit
Zellweger Spectrum Disorders,"Zellweger spectrum disorders adalah penyakit yang terjadi akibat perubahan genetik pada saat perkembangan janin. Pada kondisi yang parah, bayi yang terlahir dengan Zellweger spectrum disorders dapat mengalami kelainan bentuk wajah, seperti jidat dan hidung yang lebar, serta jarak antarmata yang tidak normal.Zellweger spectrum disorders (ZSD) merupakan penyakit yang dapat memengaruhi banyak organ tubuh sekaligus.","ZSD dari kedua orang tuanya.Dengan kata lain, kemungkinan penyakit ini menurun ke anak bila kedua orang tuanya memiliki gen ZSD adalah sebesar 25% pada setiap kehamilan. Jika hanya diturunkan satu gen dari salah satu orang tuanya, anak tidak akan mengalami","ZSD adalah:Tabung makan khusus untuk menyalurkan makanan agar asupan kalori tetap terjagaAlat bantu dengar atau implan koklea, untuk mengatasi gangguan pendengaranSuplementasi vitamin yang larut dalam lemak untuk mencegah defisiensiPemberian vitamin K, bila terjadi perdarahanOperasi mata untuk mengatasi katarakPeresepan kacamata untuk memperbaiki penglihatanPemberian obat antikonvulsan jika terdapat kejangTerapi pemberian hormon adrenokortikotropik jika kekurangan hormon tersebutSelain menjalani penanganan yang telah disebutkan, pasien ZSD juga disarankan untuk melakukan kontrol rutin minimal 1 tahun sekali. Hal ini agar kondisi pasien terpantau dan dokter dapat menentukan langkah penanganan jangka panjang.Komplikasi Zellweger Spectrum DisordersZellweger spectrum disorders merupakan penyakit yang membuat fungsi organ tubuh terganggu."
Xerosis,"Xerosis atau kulit kering adalah kondisi ketika lapisan terluar kulit (epidermis) kekurangan kadar air secara berlebihan. Hal ini menyebabkan kulit kehilangan kelembapan yang cukup untuk mempertahankan kelembutan dan elastisitasnya.Normalnya, kulit membutuhkan 10 sampai 35 persen kandungan air agar dapat mempertahankan teksturnya yang lembut dan elastis.","infeksi masuk dan menembus celah di permukaan kulit akibat retakan atau pecah-pecah di kulit.Lichen simplex chronicus (LSC)LSC atau neurodermatitis adalah penyakit kulit kronis akibat kebiasaan menggaruk kulit secara berulang di area yang gatal. Kebiasaan tersebut dapat menyebabkan kulit di area yang gatal tersebut menebal.Pencegahan XerosisRisiko terjadinya kulit kering dapat dihindari dengan melakukan perawatan kulit sederhana hingga memperbaiki gaya hidup, misalnya dengan:Membersihkan kulit menggunakan sabun pelembap yang ringan dan bebas pewangi, dengan mengusapkannya secara perlahanMembatasi waktu mandi dan mandi menggunakan air hangat, bukan air panasMengeringkan kulit dengan handuk yang lembutMenggunakan pelembap kulit atau handbody segera setelah selesai mandiMengurangi paparan sinar matahari, karena dapat menguapkan minyak dan kelembapan kulitMenggunakan pakaian pelindung yang dapat menutupi kulit saat berada di luar ruanganMenggunakan tabir surya saat melakukan aktivitas di luar ruanganMencegah dehidrasi dengan cukup minum air putihMengelola stres yang dapat memperburuk eksim atau kondisi kulit lainnyaMenggunakan pelembap udara (humidifier) di dalam ruangan, terutama pada saat musim dinginTidak merokok","yang muncul, dokter akan melakukan beberapa pemeriksaan tambahan, yaitu:Tes alergi, untuk mengidentifikasi zat yang menimbulkan reaksi alergiTes darah, untuk mendeteksi kemungkinan adanya penyakit yang dapat menyebabkan kulit kering, seperti diabetes atau penyakit ginjalBiopsi kulit, untuk mencari tahu"
Xerophthalmia,"Xerophthalmia adalah penyakit mata akibat kekurangan vitamin A yang ditandai dengan mata kering. Jika tidak ditangani, penyakit ini dapat berkembang makin parah seiring berjalannya waktu, bahkan hingga menyebabkan kebutaan.","Xerophthalmia Xerophthalmia disebabkan oleh kekurangan vitamin A. Vitamin ini tidak diproduksi oleh tubuh, tetapi bisa didapat dari makanan, baik makanan hewani maupun nabati.","campak, seperti ruam di kulit dan demam, agar campak cepat teratasi dan xerophthalmia dapat dicegah."
Xanthoma,"Xanthoma adalah penumpukan lemak yang paling sering terlihat di kulit. Kondisi ini bisa ditandai dengan munculnya benjolan dengan beragam ukuran pada kulit di satu area tubuh tertentu, misalnya kelopak mata, sendi, atau menyebar di seluruh kulit.",dari kondisi ini bisa dihindari dengan menerapkan pola hidup sehat.,"XanthomaPenumpukan lemak yang terjadi pada xanthoma bisa terjadi di kulit atau di organ. Xanthoma kulit ditandai dengan benjolan (papul hingga nodul) yang bisa berwarna kuning atau kuning kemerah-merahan yang terasa lembut.Beberapa area di kulit yang bisa menjadi lokasi munculnya xanthoma adalah sebagai berikut:Xantoma kulit di kelopak mata (xanthelasma palpebrarum), ditandai dengan benjolan datar, simetris, berwarna kuning, dan bertekstur lembut.Xanthoma di siku, lutut, atau area kulit yang sering mengalami tekanan (tuberous xanthomas), ditandai dengan benjolan padat tetapi tidak nyeri, yang berwarna kuning kemerahan.Xanthoma di kulit tendon atau ligamen (tendinous xanthomas), yaitu benjolan yang mirip dengan gout yang kemunculannya dikaitkan dengan benturan atau trauma.Eruptive xanthoma, yang ditandai dengan benjolan kecil berwarna kuning kemerahan, terasa lembut, dan disertai gatal, serta bisa menyebar ke anggota gerak, bahu, bokong, bahkan kadang hingga wajah dan lapisan dalam mulut.Selain itu, xanthoma juga bisa muncul dalam bentuk benjolan tipis di lipatan telapak tangan atau lipatan kulit lain, serta gusi."
Xanthelasma,"Xanthelasma adalah plak kekuningan akibat gumpalan lemak yang muncul di kelopak mata. Plak kekuningan ini tumbuh di sudut mata pada sisi yang dekat dengan hidung, baik di kelopak mata atas maupun bawah.","XanthelasmaPada sebagian kasus, xanthelasma terjadi pada orang yang menderita kolesterol tinggi. Namun, ada juga orang yang kadar kolesterolnya normal tetapi tetap terkena xanthelasma.Penderita xanthelasma biasanya berusia 30 tahun ke atas.","yang dialami pasien terkait dengan kadar kolesterol yang tinggi.Dokter juga akan mengambil sampel darah pasien dan mengirimnya ke laboratorium untuk diteliti lebih lanjut. Di samping itu, dokter juga mungkin akan melakukan EKG jantung, untuk memastikan kesehatan jantung pasien.Penanganan XanthelasmaXanthelasma umumnya tidak berbahaya."
Wilson's Disease,Wilson’s disease adalah kelainan bawaan yang menyebabkan kerusakan pada hati dan otak. Kerusakan ini terjadi akibat penumpukan tembaga dalam tubuh.,"Wilson’s diseasePengobatan Wilson's DiseasePengobatan Wilson’s disease perlu dilakukan seumur hidup, karena penyakit ini tidak dapat sembuh total. Metode penanganannya bisa dengan pemberian obat-obatan atau operasi.",penumpukan tembaga dengan membatasi asupan tembaga dari makanan dan suplemen.Penderita penyakit ini juga dianjurkan untuk rutin memeriksakan diri ke dokter guna menjalani pengobatan dan mencegah kerusakan organ.
Williams Syndrome,"Williams syndrome atau sindrom Williams adalah penyakit genetik langka yang menyebabkan gangguan pertumbuhan dan perkembangan pada anak. Sindrom Williams biasanya ditandai dengan kepribadian yang khas, serta kelainan pada bentuk wajah, jantung, dan pembuluh darah.",terjadinya mutasi genetik tersebut belum diketahui.Kelainan genetik pada sindrom Williams dapat diwariskan dari orang tua atau terjadi secara spontan. Penyakit ini dapat diturunkan secara autosomal dominant.,"yang dirasakan oleh penderita.Pencegahan Williams SyndromeHingga saat ini, belum diketahui cara untuk mencegah Williams syndrome. Namun, setiap pasangan yang merencanakan kehamilan disarankan untuk berkonsultasi terlebih dahulu dengan dokter kandungan dan menjalani pemeriksaan genetik, terutama jika ada anggota keluarga yang menderita kelainan genetik.Konseling dan pemeriksaan genetik sebelum merencanakan kehamilan dapat memberi gambaran seberapa besar risiko sindrom Williams terjadi pada anak Anda."
Whiplash Injury,"Whiplash injury adalah cedera leher karena gerakan kepala yang tiba-tiba dan cepat, terutama dari arah depan ke belakang. Cedera leher ini bisa terjadi akibat kecelakaan, kekerasan fisik, atau jatuh.","Whiplash Injury Whiplash injury terjadi ketika jaringan dan organ di leher mengalami kerusakan akibat benturan keras, tiba-tiba, dan sangat cepat di kepala. Beberapa kejadian yang dapat menyebabkan whiplash injury adalah:  Tabrakan mobil atau motor, terlebih bila ditabrak dari belakang Kekerasan fisik, seperti mendapat pukulan keras di kepala dari benda tumpul Cedera olahraga yang melibatkan kontak fisik, misalnya pada sepak bola atau tinju Terjatuh atau tabrakan ketika sedang bersepeda atau berkuda Terpeleset dengan posisi kepala tersentak keras ke belakang  Guncangan keras, seperti pada shaken baby syndrome","dan tingkat keparahan whiplash injury. Obat-obatan tersebut antara lain:   Antinyeri, misalnya Fasidol, Panadol, atau Ibuprofen, untuk meredakan nyeri ringan hingga sedang   Muscle relaxant, seperti Estalex, Lioresal, atau Myori, untuk mengendurkan otot yang tegang sekaligus meredakan nyeri   Lidocaine suntik atau kortikosteroid suntik, untuk mengurangi nyeri   Terapi Beberapa pasien whiplash injury disarankan untuk menjalani terapi fisik (fisioterapi)."
Pengertian Wasir (Ambeien),Wasir adalah pembengkakan atau pembesaran pada pembuluh darah di anus dan bagian akhir usus besar (rektum). Kondisi ini dapat menyebabkan rasa mengganjal atau nyeri di area dubur dan keluar darah saat buang air besar.,"WasirPembengkakan dan peradangan pembuluh darah pada wasir atau ambeien umumnya disebabkan oleh tekanan yang terlalu besar di area anus. Ada beberapa kondisi yang dapat meningkatkan risiko seseorang mengalami wasir, yaitu:Konstipasi atau sembelit berkepanjangan (kronis), yang salah satu penyebabnya adalah kurang asupan makanan berseratMengejan atau menahan napas, misalnya karena BAB keras, melahirkan, mengangkat benda berat, dan batuk atau muntah yang terus-menerusSering duduk terlalu lama, misalnya karena pekerjaan kantoran yang aktivitasnya lebih banyak dudukTingginya tekanan di dalam panggul, misalnya karena kehamilan, kegemukan, atau penumpukan cairan di dalam rongga perut (asites)Lemahnya jaringan bawah panggul yang menyokong anus dan rektum, misalnya karena penuaan atau kehamilanPenyakit tertentu, seperti diare berkepanjangan, anus turun (prolaps rektum), radang usus, atau kanker usus besarRiwayat wasir dalam keluarga",dan mencegah terjadinya komplikasi berupa perdarahan. Berikut ini adalah beberapa cara pengobatan wasir atau ambeien yang umum dilakukan.Perawatan mandiriWasir yang tergolong ringan umumnya akan sembuh dalam beberapa hari tanpa pengobatan khusus.
Waham Kebesaran,"Waham kebesaran adalah keyakinan dalam diri seseorang bahwa ia memiliki kehebatan, kekuasaan, kecerdasan, kekayaan, atau kekuatan yang luar biasa. Namun, keyakinan tersebut sebenarnya keliru atau disebut juga delusi.","utama dari waham kebesaran adalah gangguan mental. Berikut ini adalah beberapa jenis gangguan mental dan kondisi lain yang bisa menimbulkan waham kebesaran:SkizofreniaGangguan bipolarDemensiaDeliriumDepresi beratPsikosisGangguan kepribadian jenis narsistikSelain itu, ada faktor yang dapat meningkatkan risiko seseorang menjadi megalomania, antara lain:Waham kebesaran atau gangguan mental lain, seperti skizofrenia, pada orang tua atau anggota keluargaStres berat, misalnya karena kehilangan pekerjaan, bangkrut, atau perceraianPenyalahgunaan NAPZA, seperti kokain atau amfetaminPengalaman traumatis, seperti bullying, pelecehan seksual, atau kekerasan fisik maupun emosionalEnggan berinteraksi atau bersosialisasi dengan orang lainCedera otak yang menyebabkan kerusakan pada lobus frontal, yaitu bagian otak besar pengatur emosi dan pengendalian diriKetidakseimbangan neurotransmiter, seperti hormon dopamin di otak","delusi pada penderita waham kebesaran:AntipsikotikBeberapa obat antipsikotik yang dapat digunakan dalam penanganan waham kebesaran meliputi:ChlorpromazineHaloperidolPaliperidoneRisperidone, contohnya NeriprosTrifluoperazineOlanzapine, misalnya RemitalObat antidepresanContoh obat antidepresan yang digunakan dalam penanganan waham kebesaran antara lain: Fluoxetine, contohnya AntiprestinEscitalopramMaprotilineDuloxetineObat mood stabilizersObat penstabil suasana hati atau antimania yang digunakan dalam pengobatan megalomania bisa berupa:LithiumCarbamazepine, contohnya Tegretol atau BamgetolLamotrigineAsam ValproatObat penenang (tranquilizer)Beberapa obat penenang atau antiansietas yang digunakan meliputi: AlprazolamLorazepamDiazepamKomplikasi Waham KebesaranApabila tidak ditangani, waham kebesaran dapat menyebabkan komplikasi serius, antara lain:Gangguan mental lain, seperti depresiKeinginan menyakiti diri sendiri atau melakukan percobaan bunuh diriCedera akibat perilaku melukai diri sendiri atau orang lainPerilaku kriminal hingga berujung dipenjaraKesepian dan putus asa akibat dikucilkan masyarakatKesulitan dalam mengikuti pelajaran sehingga menyebabkan putus sekolah atau putus kuliahPenurunan kinerja sehingga menyebabkan kehilangan pekerjaanPencegahan Waham KebesaranBelum ada cara pasti yang dapat mencegah waham kebesaran. Upaya terbaik yang bisa dilakukan adalah dengan mengenali gejalanya lebih awal dan segera mencari pertolongan medis."
